FIPS,% Urban Population,Household Median Income,Median Age,2012 Vote Rate for Democrats,"% White, Non-Latino",% Professional Jobs,Total Population,% of Edits that Were Made by a Local Editor (English Wikipedia),% of Content that Was Contributed by a Local Editor (English Wikipedia),% of Users who are Local (English Wikipedia),% Human-generated (Manual) Content (English Wikipedia),% Human (Manual) Edits (English Wikipedia),Non-spatial Outlink Entropy (English Wikipedia),% of Articles that are C-class or Higher (English Wikipedia),% of Spatial Outlinks to Governmental Articles (English Wikipedia),Tag Entropy (OpenStreetMap),Page Count (English Wikipedia)
51033,21.6,57218,38.9,53.4,63.6,0.296,28545,0.525,0.46,0.108,0.883,0.615,7.385,0.007,0.069,3.54,154
51035,2.9,32853,44.7,28.4,95.9,0.222,30042,0.352,0.3,0.116,0.826,0.744,7.947,0.083,0.134,3.02,23
51036,0.0,48428,46.6,65.8,40.5,0.235,7256,0.372,0.529,0.089,0.959,0.754,7.78,0.097,0.018,2.6,64
51037,0.0,33015,43.7,42.4,66.6,0.24,12586,0.34,0.403,0.148,0.878,0.749,7.595,0.029,0.18,2.96,39
51041,94.1,72088,37.6,45.8,65.4,0.425,316236,0.364,0.429,0.255,0.901,0.88,8.267,0.111,0.08,4.06,84
51043,30.5,77597,44.9,41.9,88.3,0.438,14034,0.332,0.465,0.152,0.955,0.822,7.551,0.085,0.077,3.05,70
51045,0.0,47806,44.8,31.2,98.3,0.284,5190,0.07,0.011,0.08,0.753,0.615,7.896,0.083,0.208,1.68,13
51047,38.1,64423,38.2,41,71.7,0.354,46689,0.347,0.472,0.192,0.953,0.856,7.939,0.118,0.074,3.73,52
51049,4.0,40557,41.6,48.1,63.2,0.269,10052,0.41,0.454,0.09,0.958,0.748,7.994,0.057,0.039,2.49,44
51051,0.0,33318,43,35.9,98.4,0.257,15903,0.346,0.162,0.204,0.824,0.788,8.465,0,0.143,0.99,19
51053,28.8,52027,40.7,48.2,62.9,0.276,28001,0.329,0.812,0.104,0.982,0.822,8.321,0.158,0.05,3.2,44
51057,22.7,44885,43.2,53.1,56,0.2,11151,0.305,0.351,0.129,0.943,0.8,7.815,0,0.055,3.08,43
51059,98.6,110292,37.3,59.3,54.6,0.559,1081726,0.542,0.582,0.343,0.935,0.919,9.301,0.15,0.067,5.1,361
51061,42.5,88409,41.3,39.3,81.9,0.439,65203,0.478,0.552,0.214,0.956,0.836,7.742,0.076,0.057,3.73,120
51063,0.0,44618,43.6,35.8,94.1,0.292,15279,0.129,0.033,0.165,0.932,0.726,7.859,0.024,0.071,2.91,38
51065,37.1,68288,41.1,46.3,79.1,0.41,25691,0.46,0.55,0.205,0.915,0.808,7.921,0.041,0.08,2.65,49
51067,10.8,45624,44.1,34.1,87.4,0.314,56159,0.107,0.026,0.148,0.829,0.713,7.85,0.022,0.253,3.15,44
51069,55.2,68424,39.1,35,86.3,0.393,78305,0.582,0.607,0.193,0.966,0.843,8.15,0.11,0.179,3.93,90
51071,33.7,45141,43.2,36.2,95.9,0.3,17286,0.112,0.019,0.127,0.834,0.641,8.054,0.103,0.266,2.18,30
