RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
202,0.027710245,-0.515161015,-0.782661292,-0.168872848,1.148001709,-0.409786976,-0.71566197,-0.770495809,-0.578809678,-0.490792475,-0.922521349,-0.720762936,-0.510186342,-0.760998913
203,-0.212397365,0.342686094,-0.418623257,0.409192852,1.363080914,0.165818125,-0.456871257,-0.443100002,-0.406690217,-0.3195565,-0.107951619,-0.301695364,-0.110774033,-0.104699411
204,-0.238542506,1.342369186,-0.679321463,1.318634584,1.433264654,1.07871338,-0.944079879,-0.881281973,-0.94535547,-0.936852035,-0.433822864,-0.866529813,-1.129524183,-0.378971361
205,0.291832118,1.156638354,-0.590073428,0.756692144,0.765387124,0.924222169,0.117357809,0.248516868,0.118811265,0.310239442,0.212307045,0.189924999,0.377324101,0.201516928
206,-0.55658839,1.577326822,-0.228384026,1.230887291,1.347232973,0.764227357,-0.458197241,-0.290415312,-0.436052899,-0.100716743,-0.227433592,-0.067545969,0.072468309,0.118922521
207,0.089952345,-0.543940564,-0.524311719,0.297315637,0.097509593,-0.404309782,-0.237457775,-0.068468701,-0.269564891,0.018584976,-0.2831275,-0.323816527,0.035966836,-0.564415156
208,0.971889282,1.580828678,-0.867212061,0.183418743,1.2046015,2.114509669,0.491459511,0.712489826,0.510864349,0.927936373,1.256645146,1.091754299,0.71273246,0.643285769
209,-0.155891161,0.75671567,-0.618257018,1.297642358,0.930658513,0.368445203,-0.747704657,-0.404838497,-0.815730787,-0.336697283,-0.47911935,-0.355111273,-0.163265784,-0.357499547
210,-0.306008698,1.418161131,-0.780312659,1.141301489,1.163849651,1.190058283,-0.298980315,-0.196627502,-0.224438554,0.009199996,-0.010394425,-0.036353828,-0.004000253,0.155200063
211,-0.486855162,0.296526592,-1.095029412,0.745084513,0.821986914,0.463304286,-0.193108435,-0.034985607,-0.25631121,-0.040085018,-0.578531926,-0.184688159,0.155164195,-0.423099202
